frame = 001, error = 0.022747, current_knob = 0.000300, set_point = 0.020000
frame = 002, error = 0.034624, current_knob = 0.000300, set_point = 0.020000
frame = 003, error = 0.029011, current_knob = 0.000300, set_point = 0.020000
frame = 004, error = 0.031368, current_knob = 0.000300, set_point = 0.020000
frame = 005, error = 0.030658, current_knob = 0.000300, set_point = 0.020000
frame = 006, error = 0.027176, current_knob = 0.000300, set_point = 0.020000
frame = 007, error = 0.025756, current_knob = 0.000300, set_point = 0.020000
frame = 008, error = 0.015586, current_knob = 0.000300, set_point = 0.020000
frame = 009, error = 0.015270, current_knob = 0.000300, set_point = 0.020000
frame = 010, error = 0.017430, current_knob = 0.000300, set_point = 0.020000
frame = 011, error = 0.017075, current_knob = 0.000300, set_point = 0.020000
frame = 012, error = 0.017302, current_knob = 0.000300, set_point = 0.020000
frame = 013, error = 0.017598, current_knob = 0.000300, set_point = 0.020000
frame = 014, error = 0.017598, current_knob = 0.000300, set_point = 0.020000
frame = 015, error = 0.019778, current_knob = 0.000300, set_point = 0.020000
frame = 016, error = 0.023408, current_knob = 0.000300, set_point = 0.020000
frame = 017, error = 0.024029, current_knob = 0.000300, set_point = 0.020000
frame = 018, error = 0.058564, current_knob = 0.000300, set_point = 0.020000
frame = 019, error = 0.020597, current_knob = 0.000300, set_point = 0.020000
frame = 020, error = 0.020370, current_knob = 0.000300, set_point = 0.020000
frame = 021, error = 0.031832, current_knob = 0.000300, set_point = 0.020000
frame = 022, error = 0.040887, current_knob = 0.000300, set_point = 0.020000
frame = 023, error = 0.028932, current_knob = 0.000300, set_point = 0.020000
frame = 024, error = 0.031921, current_knob = 0.000300, set_point = 0.020000
frame = 025, error = 0.028685, current_knob = 0.000300, set_point = 0.020000
frame = 026, error = 0.029445, current_knob = 0.000300, set_point = 0.020000
frame = 027, error = 0.036823, current_knob = 0.000300, set_point = 0.020000
frame = 028, error = 0.048522, current_knob = 0.000300, set_point = 0.020000
frame = 029, error = 0.043146, current_knob = 0.000300, set_point = 0.020000
frame = 030, error = 0.034920, current_knob = 0.000300, set_point = 0.020000
frame = 031, error = 0.030145, current_knob = 0.000300, set_point = 0.020000
frame = 032, error = 0.029119, current_knob = 0.000300, set_point = 0.020000
frame = 033, error = 0.020498, current_knob = 0.000300, set_point = 0.020000
frame = 034, error = 0.016217, current_knob = 0.000300, set_point = 0.020000
frame = 035, error = 0.016759, current_knob = 0.000300, set_point = 0.020000
frame = 036, error = 0.010466, current_knob = 0.000300, set_point = 0.020000
frame = 037, error = 0.010910, current_knob = 0.000300, set_point = 0.020000
frame = 038, error = 0.010160, current_knob = 0.000300, set_point = 0.020000
frame = 039, error = 0.010801, current_knob = 0.000300, set_point = 0.020000
frame = 040, error = 0.013938, current_knob = 0.000300, set_point = 0.020000
frame = 041, error = 0.010505, current_knob = 0.000300, set_point = 0.020000
frame = 042, error = 0.010959, current_knob = 0.000300, set_point = 0.020000
frame = 043, error = 0.010851, current_knob = 0.000300, set_point = 0.020000
frame = 044, error = 0.011738, current_knob = 0.000300, set_point = 0.020000
frame = 045, error = 0.010308, current_knob = 0.000300, set_point = 0.020000
frame = 046, error = 0.009874, current_knob = 0.000300, set_point = 0.020000
frame = 047, error = 0.010979, current_knob = 0.000300, set_point = 0.020000
frame = 048, error = 0.015329, current_knob = 0.000300, set_point = 0.020000
frame = 049, error = 0.014757, current_knob = 0.000300, set_point = 0.020000
frame = 050, error = 0.013761, current_knob = 0.000300, set_point = 0.020000
frame = 051, error = 0.012449, current_knob = 0.000300, set_point = 0.020000
frame = 052, error = 0.041410, current_knob = 0.000300, set_point = 0.020000
frame = 053, error = 0.013415, current_knob = 0.000300, set_point = 0.020000
frame = 054, error = 0.016947, current_knob = 0.000300, set_point = 0.020000
frame = 055, error = 0.020153, current_knob = 0.000300, set_point = 0.020000
frame = 056, error = 0.024503, current_knob = 0.000300, set_point = 0.020000
frame = 057, error = 0.026831, current_knob = 0.000300, set_point = 0.020000
frame = 058, error = 0.025203, current_knob = 0.000300, set_point = 0.020000
frame = 059, error = 0.026545, current_knob = 0.000300, set_point = 0.020000
frame = 060, error = 0.024148, current_knob = 0.000300, set_point = 0.020000
frame = 061, error = 0.027728, current_knob = 0.000300, set_point = 0.020000
