frame = 001, error = 0.000631, current_knob = 0.000001, set_point = 0.020000
frame = 002, error = 0.000010, current_knob = 0.000001, set_point = 0.020000
frame = 003, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 004, error = 0.000207, current_knob = 0.000001, set_point = 0.020000
frame = 005, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 006, error = 0.000010, current_knob = 0.000001, set_point = 0.020000
frame = 007, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 008, error = 0.000049, current_knob = 0.000001, set_point = 0.020000
frame = 009, error = 0.000010, current_knob = 0.000001, set_point = 0.020000
frame = 010, error = 0.000059, current_knob = 0.000001, set_point = 0.020000
frame = 011, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 012, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 013, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 014, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 015, error = 0.000039, current_knob = 0.000001, set_point = 0.020000
frame = 016, error = 0.000020, current_knob = 0.000001, set_point = 0.020000
frame = 017, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 018, error = 0.000168, current_knob = 0.000001, set_point = 0.020000
frame = 019, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 020, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 021, error = 0.000079, current_knob = 0.000001, set_point = 0.020000
frame = 022, error = 0.000059, current_knob = 0.000001, set_point = 0.020000
frame = 023, error = 0.000148, current_knob = 0.000001, set_point = 0.020000
frame = 024, error = 0.000197, current_knob = 0.000001, set_point = 0.020000
frame = 025, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 026, error = 0.000069, current_knob = 0.000001, set_point = 0.020000
frame = 027, error = 0.000227, current_knob = 0.000001, set_point = 0.020000
frame = 028, error = 0.000138, current_knob = 0.000001, set_point = 0.020000
frame = 029, error = 0.000010, current_knob = 0.000001, set_point = 0.020000
frame = 030, error = 0.000089, current_knob = 0.000001, set_point = 0.020000
frame = 031, error = 0.000089, current_knob = 0.000001, set_point = 0.020000
frame = 032, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 033, error = 0.000010, current_knob = 0.000001, set_point = 0.020000
frame = 034, error = 0.000197, current_knob = 0.000001, set_point = 0.020000
frame = 035, error = 0.000158, current_knob = 0.000001, set_point = 0.020000
frame = 036, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 037, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 038, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 039, error = 0.000069, current_knob = 0.000001, set_point = 0.020000
frame = 040, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 041, error = 0.000178, current_knob = 0.000001, set_point = 0.020000
frame = 042, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 043, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 044, error = 0.000375, current_knob = 0.000001, set_point = 0.020000
frame = 045, error = 0.000010, current_knob = 0.000001, set_point = 0.020000
frame = 046, error = 0.000059, current_knob = 0.000001, set_point = 0.020000
frame = 047, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 048, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 049, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 050, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 051, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 052, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 053, error = 0.000099, current_knob = 0.000001, set_point = 0.020000
frame = 054, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 055, error = 0.000158, current_knob = 0.000001, set_point = 0.020000
frame = 056, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 057, error = 0.000049, current_knob = 0.000001, set_point = 0.020000
frame = 058, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 059, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 060, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 061, error = 0.000049, current_knob = 0.000001, set_point = 0.020000
frame = 062, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 063, error = 0.000385, current_knob = 0.000001, set_point = 0.020000
frame = 064, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 065, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 066, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 067, error = 0.000256, current_knob = 0.000001, set_point = 0.020000
frame = 068, error = 0.000148, current_knob = 0.000001, set_point = 0.020000
frame = 069, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 070, error = 0.000118, current_knob = 0.000001, set_point = 0.020000
frame = 071, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 072, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 073, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 074, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 075, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 076, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 077, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 078, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 079, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 080, error = 0.000118, current_knob = 0.000001, set_point = 0.020000
frame = 081, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 082, error = 0.000059, current_knob = 0.000001, set_point = 0.020000
frame = 083, error = 0.000069, current_knob = 0.000001, set_point = 0.020000
frame = 084, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 085, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 086, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 087, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 088, error = 0.000296, current_knob = 0.000001, set_point = 0.020000
frame = 089, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 090, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 091, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 092, error = 0.000148, current_knob = 0.000001, set_point = 0.020000
frame = 093, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 094, error = 0.000000, current_knob = 0.000001, set_point = 0.020000
frame = 095, error = 0.000010, current_knob = 0.000001, set_point = 0.020000
frame = 096, error = 0.000434, current_knob = 0.000001, set_point = 0.020000
frame = 097, error = 0.000049, current_knob = 0.000001, set_point = 0.020000
frame = 098, error = 0.000030, current_knob = 0.000001, set_point = 0.020000
frame = 099, error = 0.000059, current_knob = 0.000001, set_point = 0.020000
frame = 100, error = 0.000000, current_knob = 0.000001, set_point = 0.002000
