frame = 001, error = 0.005139, current_knob = 0.000075, set_point = 0.020000
frame = 002, error = 0.012656, current_knob = 0.000075, set_point = 0.020000
frame = 003, error = 0.014214, current_knob = 0.000075, set_point = 0.020000
frame = 004, error = 0.007803, current_knob = 0.000075, set_point = 0.020000
frame = 005, error = 0.008414, current_knob = 0.000075, set_point = 0.020000
frame = 006, error = 0.008039, current_knob = 0.000075, set_point = 0.020000
frame = 007, error = 0.005771, current_knob = 0.000075, set_point = 0.020000
frame = 008, error = 0.005159, current_knob = 0.000075, set_point = 0.020000
frame = 009, error = 0.002358, current_knob = 0.000075, set_point = 0.020000
frame = 010, error = 0.003719, current_knob = 0.000075, set_point = 0.020000
frame = 011, error = 0.003561, current_knob = 0.000075, set_point = 0.020000
frame = 012, error = 0.005889, current_knob = 0.000075, set_point = 0.020000
frame = 013, error = 0.010456, current_knob = 0.000075, set_point = 0.020000
frame = 014, error = 0.002594, current_knob = 0.000075, set_point = 0.020000
frame = 015, error = 0.004784, current_knob = 0.000075, set_point = 0.020000
frame = 016, error = 0.006214, current_knob = 0.000075, set_point = 0.020000
frame = 017, error = 0.006323, current_knob = 0.000075, set_point = 0.020000
frame = 018, error = 0.006629, current_knob = 0.000075, set_point = 0.020000
frame = 019, error = 0.008444, current_knob = 0.000075, set_point = 0.020000
frame = 020, error = 0.004360, current_knob = 0.000075, set_point = 0.020000
frame = 021, error = 0.007211, current_knob = 0.000075, set_point = 0.020000
frame = 022, error = 0.006540, current_knob = 0.000075, set_point = 0.020000
frame = 023, error = 0.007260, current_knob = 0.000075, set_point = 0.020000
frame = 024, error = 0.008414, current_knob = 0.000075, set_point = 0.020000
frame = 025, error = 0.009519, current_knob = 0.000075, set_point = 0.020000
frame = 026, error = 0.008079, current_knob = 0.000075, set_point = 0.020000
frame = 027, error = 0.009736, current_knob = 0.000075, set_point = 0.020000
frame = 028, error = 0.008108, current_knob = 0.000075, set_point = 0.020000
frame = 029, error = 0.008789, current_knob = 0.000075, set_point = 0.020000
frame = 030, error = 0.009046, current_knob = 0.000075, set_point = 0.020000
frame = 031, error = 0.006708, current_knob = 0.000075, set_point = 0.020000
frame = 032, error = 0.006274, current_knob = 0.000075, set_point = 0.020000
frame = 033, error = 0.005297, current_knob = 0.000075, set_point = 0.020000
frame = 034, error = 0.005376, current_knob = 0.000075, set_point = 0.020000
frame = 035, error = 0.004232, current_knob = 0.000075, set_point = 0.020000
frame = 036, error = 0.002535, current_knob = 0.000075, set_point = 0.020000
frame = 037, error = 0.002407, current_knob = 0.000075, set_point = 0.020000
frame = 038, error = 0.002289, current_knob = 0.000075, set_point = 0.020000
frame = 039, error = 0.002584, current_knob = 0.000075, set_point = 0.020000
frame = 040, error = 0.001864, current_knob = 0.000075, set_point = 0.020000
frame = 041, error = 0.002358, current_knob = 0.000075, set_point = 0.020000
frame = 042, error = 0.002427, current_knob = 0.000075, set_point = 0.020000
frame = 043, error = 0.001785, current_knob = 0.000075, set_point = 0.020000
frame = 044, error = 0.002456, current_knob = 0.000075, set_point = 0.020000
frame = 045, error = 0.002180, current_knob = 0.000075, set_point = 0.020000
frame = 046, error = 0.002871, current_knob = 0.000075, set_point = 0.020000
frame = 047, error = 0.003206, current_knob = 0.000075, set_point = 0.020000
frame = 048, error = 0.002071, current_knob = 0.000075, set_point = 0.020000
frame = 049, error = 0.002811, current_knob = 0.000075, set_point = 0.020000
frame = 050, error = 0.003423, current_knob = 0.000075, set_point = 0.020000
frame = 051, error = 0.003620, current_knob = 0.000075, set_point = 0.020000
frame = 052, error = 0.002565, current_knob = 0.000075, set_point = 0.020000
frame = 053, error = 0.002949, current_knob = 0.000075, set_point = 0.020000
frame = 054, error = 0.007112, current_knob = 0.000075, set_point = 0.020000
frame = 055, error = 0.005830, current_knob = 0.000075, set_point = 0.020000
frame = 056, error = 0.004547, current_knob = 0.000075, set_point = 0.020000
frame = 057, error = 0.007842, current_knob = 0.000075, set_point = 0.020000
frame = 058, error = 0.007142, current_knob = 0.000075, set_point = 0.020000
frame = 059, error = 0.006284, current_knob = 0.000075, set_point = 0.020000
frame = 060, error = 0.008335, current_knob = 0.000075, set_point = 0.020000
frame = 061, error = 0.005563, current_knob = 0.000075, set_point = 0.020000
frame = 062, error = 0.005928, current_knob = 0.000075, set_point = 0.020000
frame = 063, error = 0.008464, current_knob = 0.000075, set_point = 0.020000
frame = 064, error = 0.064463, current_knob = 0.000075, set_point = 0.020000
frame = 065, error = 0.008464, current_knob = 0.000075, set_point = 0.020000
frame = 066, error = 0.007053, current_knob = 0.000075, set_point = 0.020000
frame = 067, error = 0.006224, current_knob = 0.000075, set_point = 0.020000
frame = 068, error = 0.005189, current_knob = 0.000075, set_point = 0.020000
frame = 069, error = 0.003985, current_knob = 0.000075, set_point = 0.020000
frame = 070, error = 0.003620, current_knob = 0.000075, set_point = 0.020000
frame = 071, error = 0.003097, current_knob = 0.000075, set_point = 0.020000
frame = 072, error = 0.002930, current_knob = 0.000075, set_point = 0.020000
frame = 073, error = 0.002289, current_knob = 0.000075, set_point = 0.020000
frame = 074, error = 0.001292, current_knob = 0.000075, set_point = 0.020000
frame = 075, error = 0.000977, current_knob = 0.000075, set_point = 0.020000
frame = 076, error = 0.000809, current_knob = 0.000075, set_point = 0.020000
frame = 077, error = 0.001164, current_knob = 0.000075, set_point = 0.020000
frame = 078, error = 0.004972, current_knob = 0.000075, set_point = 0.020000
frame = 079, error = 0.004123, current_knob = 0.000075, set_point = 0.020000
frame = 080, error = 0.004321, current_knob = 0.000075, set_point = 0.020000
frame = 081, error = 0.002762, current_knob = 0.000075, set_point = 0.020000
frame = 082, error = 0.004459, current_knob = 0.000075, set_point = 0.020000
frame = 083, error = 0.003186, current_knob = 0.000075, set_point = 0.020000
frame = 084, error = 0.003591, current_knob = 0.000075, set_point = 0.020000
frame = 085, error = 0.003226, current_knob = 0.000075, set_point = 0.020000
frame = 086, error = 0.004094, current_knob = 0.000075, set_point = 0.020000
frame = 087, error = 0.006875, current_knob = 0.000075, set_point = 0.020000
frame = 088, error = 0.004133, current_knob = 0.000075, set_point = 0.020000
frame = 089, error = 0.004567, current_knob = 0.000075, set_point = 0.020000
frame = 090, error = 0.003837, current_knob = 0.000075, set_point = 0.020000
frame = 091, error = 0.004143, current_knob = 0.000075, set_point = 0.020000
frame = 092, error = 0.004163, current_knob = 0.000075, set_point = 0.020000
frame = 093, error = 0.006856, current_knob = 0.000075, set_point = 0.020000
frame = 094, error = 0.005169, current_knob = 0.000075, set_point = 0.020000
frame = 095, error = 0.003788, current_knob = 0.000075, set_point = 0.020000
frame = 096, error = 0.003068, current_knob = 0.000075, set_point = 0.020000
frame = 097, error = 0.003867, current_knob = 0.000075, set_point = 0.020000
frame = 098, error = 0.003433, current_knob = 0.000075, set_point = 0.020000
frame = 099, error = 0.003975, current_knob = 0.000075, set_point = 0.020000
frame = 100, error = 0.003206, current_knob = 0.000075, set_point = 0.002000
