Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    2549528, 0,0.00,44.780, 46.160, 47.833, 45.334,27,  -, -, 0.00%,  0.00%,  0.00%, 0.05%,  0.09%,  0.19%, 0.59%,  0.37%,  1.20%,23.35%, 13.41%, 49.80%,10.95%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 8729.71, 2695.67, 0.00, 115909.74 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.06%, 0.00%,0.00%, 0.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 12071.1, 120.6, 71033.4, 64998.6, 0.0, 0.0, 82460.8, 1.000, 0
1, P-SLICE,    4, 22.00,     885880, 0,1.48,40.501, 45.013, 46.495, 41.815,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.30%,  0.23%,  1.38%, 5.94%,  2.35%, 24.19%, 7.87%,  3.69%, 36.62%, 0.00%,  0.00%,  0.01%,  1.27%, 10.76%,  0.00%,  0.00%,  1.24%,  2.55%,  0.00%,  0.01%,  0.65%,  0.95%, 24061.45, 3672.70, 0.00, 126106.42 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.86%, 0.76%,0.00%, 0.00%, 0.38%, 0.00%, 0.00%, 0.00%, 0.00%, 91.14%, 5.31%,0.00%, 3.08%, 0.47%, 0.00%, 0.00%, 0.00%, 0.00%, 75.07%, 5.44%,0.00%, 14.50%, 4.99%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 58124.3, 434.2, 338914.4, 323528.1, 0.0, 0.0, 478627.4, 1.000, 0
2, B-SLICE,    2, 23.00,     591816, 0,1.51,39.911, 44.818, 46.146, 41.304,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  2.45%, 14.66%, 59.02%,  0.00%,  0.22%,  1.15%,  5.12%,  0.00%,  1.44%,  4.08%, 11.83%, 28535.79, 3911.19, 0.00, 175779.73 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.30%,0.00%, 5.18%, 54.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 26.31%,0.00%, 34.22%, 39.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.84%,0.00%, 44.25%, 33.91%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 147.6, 21.3, 629326.7, 603398.8, 0.0, 0.0, 1108733.1, 1.000, 0
3, b-SLICE,    1, 24.00,     388600, 0,1.54,39.492, 44.787, 46.043, 40.972,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  2.69%, 13.14%, 54.38%,  0.00%,  0.49%,  1.76%,  5.69%,  0.01%,  3.37%,  5.13%, 13.33%, 31472.16, 3941.69, 0.00, 90393.86 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 33.33%,0.00%, 0.00%, 66.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.87%,0.00%, 5.63%, 35.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 34.38%,0.00%, 37.74%, 27.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.26%,0.00%, 46.83%, 27.92%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 145.2, 6.2, 720182.0, 688546.1, 0.0, 0.0, 1829375.6, 1.000, 0
4, b-SLICE,    3, 24.00,     423368, 0,1.50,39.342, 44.681, 45.899, 40.829,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.07%, 11.26%, 56.64%,  0.00%,  0.53%,  2.23%,  8.91%,  0.01%,  2.28%,  4.40%, 12.68%, 32397.23, 4044.03, 0.00, 81140.75 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 72.47%,0.00%, 8.95%, 18.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.03%,0.00%, 42.56%, 20.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 27.06%,0.00%, 49.84%, 23.10%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 133.7, 11.5, 762741.1, 727806.4, 0.0, 0.0, 2591687.7, 1.000, 0
5, P-SLICE,    8, 22.00,     869560, 0,1.48,40.607, 45.040, 46.474, 41.894,24, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.91%,  0.77%,  4.98%, 3.33%,  1.19%, 12.63%, 7.60%,  2.94%, 33.92%, 0.00%,  0.00%,  0.02%,  1.95%, 21.68%,  0.00%,  0.00%,  0.67%,  5.41%,  0.00%,  0.00%,  0.15%,  1.86%, 23183.63, 3663.71, 0.00, 141880.44 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.76%, 0.00%,0.00%, 0.00%, 0.24%, 0.00%, 0.00%, 0.00%, 0.00%, 86.07%, 4.15%,0.00%, 6.56%, 3.22%, 0.00%, 0.00%, 0.00%, 0.00%, 59.01%, 9.66%,0.00%, 22.06%, 9.27%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 12658.8, 160.4, 811006.9, 775269.7, 0.0, 0.0, 3414043.3, 1.000, 0
6, B-SLICE,    6, 23.00,     640488, 0,1.46,39.969, 44.714, 45.946, 41.309,27, 4 2 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  2.20%, 14.13%, 62.56%,  0.00%,  0.19%,  1.68%,  5.84%,  0.00%,  0.82%,  2.87%,  9.69%, 27598.89, 4052.62, 0.00, 155038.35 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 31.36%,0.00%, 2.56%, 66.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.37%,0.00%, 38.52%, 37.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.51%,0.00%, 49.11%, 31.38%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.6, 3.1, 914770.7, 875149.0, 0.0, 0.0, 4329442.2, 1.000, 0
7, b-SLICE,    5, 24.00,     440240, 0,1.47,39.549, 44.585, 45.771, 40.956,29, 4 2 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.04%,  2.32%, 12.38%, 58.15%,  0.00%,  0.25%,  1.32%,  5.03%,  0.02%,  2.55%,  4.71%, 13.24%, 30541.45, 4170.37, 0.00, 83994.15 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 37.50%,0.00%, 0.00%, 62.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.69%,0.00%, 6.53%, 38.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.73%,0.00%, 38.50%, 28.77%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.37%,0.00%, 51.28%, 25.34%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 147.3, 5.4, 880446.6, 838535.3, 0.0, 0.0, 5210358.0, 1.000, 0
8, b-SLICE,    7, 24.00,     451784, 0,1.47,39.396, 44.660, 45.826, 40.858,28, 6 4 2 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  1.21%, 11.79%, 56.72%,  0.00%,  0.51%,  2.03%,  8.46%,  0.02%,  1.53%,  4.32%, 13.40%, 31827.66, 4088.76, 0.00, 84570.63 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 75.00%,0.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.72%,0.00%, 9.90%, 27.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.03%,0.00%, 42.94%, 22.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 27.29%,0.00%, 48.97%, 23.74%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.9, 3.0, 938284.7, 901870.4, 0.0, 0.0, 6148090.6, 1.000, 0
9, P-SLICE,   13, 22.00,     836320, 0,1.54,40.635, 45.030, 46.593, 41.929,23, 8 6 4 , -, 0.00%,  0.00%,  0.00%, 0.83%,  0.66%,  4.54%, 3.36%,  1.30%, 13.48%, 7.42%,  2.19%, 34.02%, 0.00%,  0.00%,  0.02%,  2.34%, 22.38%,  0.00%,  0.00%,  0.50%,  4.66%,  0.00%,  0.01%,  0.30%,  1.98%, 23010.89, 3636.77, 0.00, 126544.01 , 17, 235, 123.88, 57, 144, 110.68, 108, 217, 145.41, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.61%, 0.13%,0.00%, 0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 85.23%, 3.77%,0.00%, 6.24%, 4.76%, 0.00%, 0.00%, 0.00%, 0.00%, 58.53%, 8.91%,0.00%, 22.99%, 9.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11056.7, 156.1, 915123.4, 881337.8, 0.0, 0.0, 7072654.3, 1.000, 0
